kuulata	454	80
nõudis	454	68
iial	453	63
kiirelt	453	61
karl	453	31
kiiremini	451	76
tartu	450	49
kevadel	450	62
vastata	450	79
kinnitas	450	64
istusin	449	58
hakkavad	449	79
algas	449	81
suurte	448	76
arvasin	448	71
tavaline	448	81
valus	447	72
andma	446	77
jala	446	70
35	445	15
andeks	445	77
jõua	445	78
uhke	445	76
järgmise	444	77
keskel	444	78
voodis	443	70
küljest	443	72
osas	442	71
mõistis	442	57
räägin	442	76
seas	441	65
majast	441	65
alex	441	5
peaga	441	77
paraku	440	60
vaadanud	440	73
võime	440	73
jäävad	440	76
ilme	439	63
saata	439	79
seegi	439	75
tundma	438	77
mõtle	438	71
vaikne	437	77
viha	437	67
istusid	437	70
olukord	437	74
halb	437	78
poolest	437	76
tühja	437	78
raamat	437	72
selgelt	436	77
vastust	436	80
õppida	436	73
sööma	436	75
pööras	435	67
täielikult	435	75
ütlesid	435	73
talvel	434	65
helistas	434	52
tallinnas	434	54
võimalust	434	78
laeva	434	37
juhuks	434	73
puhas	433	77
leidsin	433	65
teate	432	70
haigla	432	34
astuda	431	76
kaspar	431	6
kusagilt	431	66
muutub	430	68
öeldes	430	75
kummaline	430	69
kirjutatud	429	71
noorem	429	69
ütlema	429	75
liisu	429	6
leiab	428	76
parajasti	428	59
niipalju	428	59
härra	427	50
kõrva	427	83
julge	426	74
aitas	426	79
elasid	425	68
mona	425	6
elavad	425	72
metsas	425	59
südames	424	62
meister	424	31
unustanud	423	75
üksteise	423	74
tahavad	423	72
võeti	423	71
ilmselgelt	422	61
toa	422	73
põhjus	422	74
teineteise	422	68
seletas	422	60
elmo	421	5
toonud	421	79
jõud	421	71
kallal	421	73
tappa	421	58
uskuda	421	77
maale	419	66
jõudsid	419	77
lastele	419	66
linn	419	56
telefon	419	60
maarja	418	16
mõnel	418	80
urve	417	7
tohtinud	417	60
moel	416	73
suureks	416	83
igaks	416	73
tõde	415	64
soov	415	75
otsast	415	80
laseb	415	72
töötas	415	70
näost	415	71
hilja	414	75
millegipärast	414	67
kaetud	414	68
asub	413	69
mängida	413	76
inglise	412	51
silmis	412	77
parim	412	73
venna	411	56
anti	411	67
oskas	410	72
niikuinii	410	55
soovis	410	70
rebecca	410	4
nõu	410	70
pikali	410	76
kuradi	409	61
suurema	409	79
iseenda	408	66
liikus	407	68
hakkan	407	67
kadri	406	12
ulatas	406	61
lähed	406	75
õppinud	405	81
lahkus	405	72
lõpus	405	78
